"rank","name","usps","pop2022","pop2010","growth","density","aland_sqmi"
"99","Richmond","VA","234081","204302","0.1458","3906","59.9230"
"100","Arlington","VA","233464","207627","0.1244","8980","25.9970"
"101","Boise","ID","230510","209576","0.0999","2755","83.6740"
"102","Spokane","WA","230328","209525","0.0993","3350","68.7590"
"103","Hialeah","FL","228533","225470","0.0136","10590","21.5810"
"104","Moreno Valley","CA","225553","194240","0.1612","4400","51.2570"
"105","Tacoma","WA","222975","198230","0.1248","4481","49.7590"
"106","Port St. Lucie","FL","222960","164848","0.3525","1870","119.2020"
"107","McKinney","TX","221464","132934","0.6660","3308","66.9400"
"108","Fontana","CA","218582","197317","0.1078","5075","43.0720"
"109","Modesto","CA","217617","203301","0.0704","5064","42.9770"
"110","Fayetteville","NC","214384","208337","0.0290","1450","147.8470"
"111","Baton Rouge","LA","214374","229374","-0.0654","2480","86.4490"
"112","San Bernardino","CA","214167","210637","0.0168","3448","62.1080"
"113","Santa Clarita","CA","211269","208822","0.0117","2986","70.7550"
"114","Cape Coral","FL","209576","154731","0.3545","1978","105.9480"
"115","Des Moines","IA","208966","205032","0.0192","2370","88.1800"
"116","Tempe","AZ","207982","162323","0.2813","5203","39.9770"
"117","Huntsville","AL","207921","180941","0.1491","970","214.3630"
"118","Oxnard","CA","207711","198539","0.0462","7830","26.5280"
"119","Spring Valley","NV","207127","178395","0.1611","6229","33.2530"
"120","Birmingham","AL","206151","212328","-0.0291","1411","146.0760"
"121","Rochester","NY","204768","210217","-0.0259","5725","35.7660"
"122","Overland Park","KS","203804","174040","0.1710","2711","75.1800"
"123","Grand Rapids","MI","203644","188007","0.0832","4550","44.7560"
"124","Yonkers","NY","201831","196407","0.0276","11205","18.0120"
"125","Salt Lake City","UT","200963","186643","0.0767","1815","110.6980"
"126","Columbus","GA","200569","191101","0.0495","927","216.4790"
"127","Augusta","GA","200477","196375","0.0209","663","302.2740"
"128","Amarillo","TX","199935","191249","0.0454","1965","101.7440"
"129","Tallahassee","FL","199711","181438","0.1007","1988","100.4740"
"130","Ontario","CA","197886","164377","0.2039","3961","49.9630"
"131","Montgomery","AL","197403","205593","-0.0398","1235","159.8820"
"132","Little Rock","AR","196796","193972","0.0146","1640","119.9920"
"133","Akron","OH","196736","199081","-0.0118","3177","61.9330"
"134","Huntington Beach","CA","196514","191296","0.0273","7277","27.0030"
"135","Grand Prairie","TX","196205","175974","0.1150","2715","72.2550"
"136","Glendale","CA","195148","191720","0.0179","6404","30.4710"
"137","Sioux Falls","SD","193978","154533","0.2553","2480","78.2290"
"138","Sunrise Manor","NV","193781","189372","0.0233","5806","33.3760"
"139","Aurora","IL","193431","198207","-0.0241","4298","45.0090"
"140","Vancouver","WA","189191","167595","0.1289","3881","48.7440"
"141","Knoxville","TN","188326","178258","0.0565","1908","98.7130"
"142","Peoria","AZ","187055","154846","0.2080","1063","175.9890"
"143","Mobile","AL","185453","194577","-0.0469","1330","139.4650"
"144","Chattanooga","TN","185442","170574","0.0872","1297","142.9630"
"145","Worcester","MA","185047","181759","0.0181","4953","37.3600"
"146","Brownsville","TX","184125","175362","0.0500","1391","132.3220"
"147","Fort Lauderdale","FL","183445","166126","0.1043","5304","34.5860"
"148","Newport News","VA","181331","180888","0.0024","2628","68.9920"
"149","Elk Grove","CA","181291","153375","0.1820","4313","42.0330"
"150","Providence","RI","180972","178029","0.0165","9832","18.4060"
"151","Shreveport","LA","180368","201437","-0.1046","1680","107.3610"
"152","Salem","OR","179522","155247","0.1564","3687","48.6910"
"153","Pembroke Pines","FL","178439","155265","0.1493","5461","32.6730"
"154","Eugene","OR","178385","156527","0.1396","4042","44.1380"
"155","Rancho Cucamonga","CA","178377","166226","0.0731","4446","40.1170"
"156","Cary","NC","177002","137086","0.2912","3014","58.7250"
"157","Santa Rosa","CA","176762","175238","0.0087","4157","42.5190"
"158","Fort Collins","CO","176000","145268","0.2116","3078","57.1820"
"159","Oceanside","CA","175694","168079","0.0453","4259","41.2560"
"160","Corona","CA","174044","153052","0.1372","4353","39.9860"
"161","Enterprise","NV","171108","108481","0.5773","3347","51.1290"
"162","Garden Grove","CA","169991","171181","-0.0070","9467","17.9570"
