date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29 09:00:28,6100.0,6025.0,6075.0,6125.0,5975.0,6075.0,-25.0,5207800.0,31495775000.0,1428.0,1404.9,6100.0,50000.0,6075.0,132800.0,17833520260.0,17833520260.0,17833520260.0,1531500.0,800000.0,,555500.0,3360219500.0,1.0
2019-08-19 10:00:00,7750.0,7750.0,7750.0,7925.0,7750.0,7925.0,175.0,7060300.0,55449225000.0,1520.0,1832.7,7925.0,191800.0,7900.0,84600.0,17833520260.0,17833520260.0,17833520260.0,110200.0,222000.0,,0.0,0.0,0.0
2019-09-19 11:01:00,8475.0,8500.0,8500.0,8550.0,8375.0,8425.0,-50.0,3413800.0,28842827500.0,931.0,1948.4,8425.0,118800.0,8400.0,500.0,17833520260.0,17833520260.0,17833520260.0,297900.0,164000.0,,50.0,421250.0,1.0
2019-09-20 10:44:00,8425.0,8375.0,8375.0,8475.0,8250.0,8350.0,-75.0,5365900.0,44962330000.0,1099.0,1931.0,8350.0,83100.0,8300.0,22600.0,17833520260.0,17833520260.0,17833520260.0,355200.0,627000.0,,3150000.0,26145000000.0,1.0
2019-10-21 11:00:00,9450.0,9450.0,9450.0,9525.0,9425.0,9450.0,0.0,6141800.0,58231077500.0,1349.0,2185.4,9450.0,198000.0,9425.0,45200.0,17833520260.0,17833520260.0,17833520260.0,107600.0,200100.0,,1000000.0,9450000000.0,1.0
2019-12-12 13:33:34,9825.0,9850.0,9850.0,9950.0,9800.0,9850.0,25.0,8208200.0,81181097500.0,1826.0,2277.9,9875.0,71100.0,9850.0,500.0,17833520260.0,17833520260.0,17833520260.0,19000.0,400.0,,100000.0,1182000000.0,2.0
2020-01-08 13:00:00,9625.0,9575.0,9575.0,9600.0,9275.0,9300.0,-325.0,6245700.0,58374112500.0,2922.0,2150.7,9300.0,16900.0,9275.0,20000.0,17833520260.0,17833520260.0,17833520260.0,61800.0,590900.0,,1994500.0,18572491000.0,5.0
2020-01-09 13:00:00,9300.0,9300.0,9425.0,9525.0,9300.0,9475.0,175.0,5032300.0,47714182500.0,1841.0,2191.2,9475.0,474000.0,9450.0,30400.0,17833520260.0,17833520260.0,17833520260.0,249600.0,369000.0,,1190000.0,11090800000.0,1.0
2020-02-13 11:23:00,9025.0,0.0,0.0,9150.0,9000.0,9025.0,0.0,4624200.0,41978355000.0,1169.0,2087.1,9075.0,25000.0,9025.0,700.0,17833520260.0,17833520260.0,17833520260.0,37500.0,384800.0,,872727.0,9599997000.0,1.0
2020-06-19 13:00:50,6775.0,0.0,0.0,6850.0,6700.0,6800.0,25.0,2318000.0,15772472500.0,821.0,1572.6,6800.0,45500.0,6750.0,59600.0,17833520260.0,17833520260.0,17833520260.0,98100.0,62800.0,,44.0,300300.0,1.0
2020-07-30 09:21:00,7100.0,0.0,0.0,7325.0,7100.0,7325.0,225.0,4924700.0,35533522500.0,1850.0,1694.0,7325.0,111700.0,7300.0,32400.0,17833520260.0,17833520260.0,17833520260.0,33300.0,398100.0,,206.0,1508950.0,3.0
2020-12-02 10:27:00,9500.0,0.0,0.0,9725.0,9525.0,9675.0,175.0,5324500.0,51252900000.0,1274.0,2237.4,9700.0,43900.0,9675.0,7900.0,17833520260.0,17833520260.0,17833520260.0,1041900.0,54700.0,,221374.0,2103051225.0,4.0
2021-01-28 15:00:21,10350.0,0.0,0.0,10425.0,10150.0,10350.0,0.0,6146700.0,63575660000.0,1778.0,2393.5,10350.0,50900.0,10325.0,5400.0,17833520260.0,17833520260.0,17833520260.0,192000.0,443600.0,,1129927.0,11694744450.0,3.0
2021-02-01 09:45:00,10175.0,10200.0,10200.0,10625.0,10125.0,10625.0,450.0,8740700.0,90874767500.0,2329.0,2457.1,10625.0,72500.0,10600.0,27800.0,17833520260.0,17833520260.0,17833520260.0,2066900.0,394700.0,,123.0,1293204.0,2.0
2021-03-01 10:34:00,9750.0,9725.0,9725.0,9750.0,9300.0,9600.0,-150.0,4333000.0,41096352500.0,2193.0,2220.1,9600.0,103500.0,9575.0,32400.0,17833520260.0,17833520260.0,17833520260.0,404300.0,457900.0,,0.0,0.0,0.0
2021-04-05 14:00:00,11125.0,11125.0,11125.0,11175.0,10975.0,11000.0,-125.0,1365800.0,15128197500.0,763.0,2543.9,11000.0,3200.0,10975.0,48000.0,17833520260.0,17833520260.0,17833520260.0,115000.0,29700.0,,6064.0,67462070.0,3.0
2021-06-18 15:00:00,9575.0,9600.0,9625.0,9700.0,9450.0,9450.0,-125.0,3878100.0,37006612500.0,3366.0,2185.4,9475.0,2800.0,9450.0,478700.0,17833520260.0,17833520260.0,17833520260.0,163500.0,1608300.0,,322142.0,3077744668.0,1.0
2021-06-30 11:44:00,9725.0,9725.0,9725.0,9825.0,9675.0,9825.0,100.0,3900200.0,37987510000.0,1355.0,2272.1,9850.0,22700.0,9825.0,4100.0,17833520260.0,17833520260.0,17833520260.0,134100.0,106800.0,,7.0,68327.0,1.0
2021-07-01 11:00:00,9825.0,9850.0,9850.0,10000.0,9825.0,9850.0,25.0,1883300.0,18661272500.0,1921.0,2277.9,9900.0,200.0,9850.0,150100.0,17833520260.0,17833520260.0,17833520260.0,216300.0,398600.0,,894.0,8783550.0,1.0
